BBB3_ZKF_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,3#补偿棒自整角机供电状态,
BBB4_AC220V_EII_COM,POE\C01\BK_COM2.GB,IN,295,99,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,4#补偿棒应急AC220V II段供电状态,
BBB4_AC220V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,4#补偿棒应急AC220V II段供电状态,
BBB4_DC110V_EII_COM,POE\C01\BK_COM2.GB,IN,295,60,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,4#补偿棒应急DC111V II段供电状态,
BBB4_DC110V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,4#补偿棒应急DC111V II段供电状态,
BBB4_DJ_COM,POE\C01\BK_COM2.GB,IN,203,30,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,4#补偿棒到底部终端位置,
BBB4_DJ_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,4#补偿棒到底部终端位置,
BBB4_WD_P_COM,POE\C01\BK_COM2.GB,IN,359,73,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,4#补偿棒电位器供电状态,
BBB4_WD_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,4#补偿棒电位器供电状态,
BBB4_ZKF_P_COM,POE\C01\BK_COM2.GB,IN,356,32,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,4#补偿棒自整角机供电状态,
BBB4_ZKF_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,4#补偿棒自整角机供电状态,
BBB5_AC220V_EI_COM,POE\C01\BK_COM2.GB,IN,299,100,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,5#补偿棒应急AC220V I段供电状态,
BBB5_AC220V_EI_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,5#补偿棒应急AC220V I段供电状态,
BBB5_DC110V_EI_COM,POE\C01\BK_COM2.GB,IN,299,61,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,5#补偿棒应急DC110V I段供电状态,
BBB5_DC110V_EI_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,5#补偿棒应急DC110V I段供电状态,
BBB5_DJ_COM,POE\C01\BK_COM2.GB,IN,207,30,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,5#补偿棒到底部终端位置,
BBB5_DJ_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,5#补偿棒到底部终端位置,
BBB5_WD_P_COM,POE\C01\BK_COM2.GB,IN,363,72,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,5#补偿棒电位器供电状态,
BBB5_WD_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,5#补偿棒电位器供电状态,
BBB5_ZKF_P_COM,POE\C01\BK_COM2.GB,IN,360,31,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,5#补偿棒自整角机供电状态,
BBB5_ZKF_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,5#补偿棒自整角机供电状态,
BBB6_AC220V_EII_COM,POE\C01\BK_COM2.GB,IN,303,98,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,6#补偿棒应急AC220V II段供电状态,
BBB6_AC220V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,6#补偿棒应急AC220V II段供电状态,
BBB6_DC110V_EII_COM,POE\C01\BK_COM2.GB,IN,303,59,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,6#补偿棒应急DC111V II段供电状态,
BBB6_DC110V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,6#补偿棒应急DC111V II段供电状态,
BBB6_DJ_COM,POE\C01\BK_COM2.GB,IN,211,30,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,6#补偿棒到底部终端位置,
BBB6_DJ_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,6#补偿棒到底部终端位置,
BBB6_WD_P_COM,POE\C01\BK_COM2.GB,IN,367,73,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,6#补偿棒电位器供电状态,
BBB6_WD_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,6#补偿棒电位器供电状态,
BBB6_ZKF_P_COM,POE\C01\BK_COM2.GB,IN,364,32,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,6#补偿棒自整角机供电状态,
BBB6_ZKF_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,6#补偿棒自整角机供电状态,
BBB7_AC220V_EI_COM,POE\C01\BK_COM2.GB,IN,307,100,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,7#补偿棒应急AC220V I段供电状态,
BBB7_AC220V_EI_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,7#补偿棒应急AC220V I段供电状态,
BBB7_DC110V_EI_COM,POE\C01\BK_COM2.GB,IN,307,61,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,7#补偿棒应急DC110V I段供电状态,
