B02_03,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_03_AV,POE\DPTagVar\DPTagVar.STB,,299,0,写,:=,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_03_AV,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_03_AVI,POE\DPTagVar\DPTagVar.STB,,298,0,调用,,,,,VAR,FB,,,
B02_03_AVI,POE\DPTagVar\DPTagVarV.VB,,,,,,AVI,,,VAR,DEFINITION,,,
B02_03_AVI.AV,POE\DPTagVar\DPTagVar.STB,,299,0,读,,,,,VAR,LOCAL,,,
B02_03_AVI.AVR,POE\DPTagVar\DPTagVar.STB,,299,0,读,,,,,VAR,LOCAL,,,
B02_03_AVI.CST,POE\DPTagVar\DPTagVar.STB,,299,0,读,,,,,VAR,LOCAL,,,
B02_03_AVI.CSTA,POE\DPTagVar\MODIO.STB,,100,0,写,:=,,,,VAR,LOCAL,,,
B02_03_AVI.MS,POE\DPTagVar\DPTagVar.STB,,299,0,读,,,,,VAR,LOCAL,,,
B02_03_AVI.MST,POE\DPTagVar\MODIO.STB,,100,0,写,:=,,,,VAR,LOCAL,,,
B02_03_AVI.Q,POE\DPTagVar\DPTagVar.STB,,299,0,读,,,,,VAR,LOCAL,,,
B02_03_AVI.QTYP,POE\DPTagVar\DPTagVar.STB,,299,0,读,,,,,VAR,LOCAL,,,
B02_03_AVR,POE\DPTagVar\DPTagVar.STB,,299,0,写,:=,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_03_AVR,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_03_BF,POE\DPTagVar\DPTagVar.STB,,298,0,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_03_BF,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_03_CST,POE\DPTagVar\DPTagVar.STB,,299,0,写,:=,WORD,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_03_CST,POE\DPTagVar\DPTagVarV.VB,,,,,,WORD,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_03_FAI,POE\DPTagVar\DPTagVar.STB,,298,0,读,,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_03_FAI,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_03_MS,POE\DPTagVar\DPTagVar.STB,,299,0,写,:=,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_03_MS,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_03_Q,POE\DPTagVar\DPTagVar.STB,,299,0,写,:=,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_03_Q,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_03_QTYP,POE\DPTagVar\DPTagVar.STB,,299,0,写,:=,BYTE,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_03_QTYP,POE\DPTagVar\DPTagVarV.VB,,,,,,BYTE,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_04,POE\DPTagVar\DPTagVar.STB,,301,0,读,,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_04,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_04_AV,POE\DPTagVar\DPTagVar.STB,,302,0,写,:=,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B02_04_AV,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_04_AVI,POE\DPTagVar\DPTagVar.STB,,301,0,调用,,,,,VAR,FB,,,
B02_04_AVI,POE\DPTagVar\DPTagVarV.VB,,,,,,AVI,,,VAR,DEFINITION,,,
B02_04_AVI.AV,POE\DPTagVar\DPTagVar.STB,,302,0,读,,,,,VAR,LOCAL,,,
